player_id,batter_atbats,batter_homeruns,batter_ops,batter_runs,batter_rbi,batter_average,pitcher_innings,pitcher_wins,pitcher_losses,pitcher_era,pitcher_whip,pitcher_saves,pitcher_strikeouts,war,allstar_apps,in_hall_of_fame
martide01,520,0,0.334,25,33,0.142,3999,245,193,3.7,1.27,8,2149,48.7,4,0
hearnji01,548,9,0.4,44,36,0.141,1703,109,89,3.81,1.36,8,669,15.8,1,0
wittbo01,64,1,0.398,2,5,0.141,2465,142,157,4.83,1.57,0,1955,14.6,0,0
merriji01,397,4,0.394,21,20,0.141,1483,81,86,3.65,1.21,7,932,16.1,1,0
moosebo01,397,1,0.381,31,14,0.141,1304,76,71,3.5,1.3,19,827,7.6,0,0
wrighja02,78,1,0.376,6,6,0.141,972,68,60,5.09,1.56,2,694,4.5,0,0
amesre01,1014,3,0.364,52,63,0.141,3198,183,167,2.63,1.23,36,1702,24.6,0,0
reynosh01,546,5,0.361,34,43,0.141,1791,114,96,4.09,1.31,0,1403,17.8,1,0
pavanca01,311,2,0.354,14,14,0.141,1788,108,107,4.39,1.34,0,1091,16.4,1,0
gullibi01,576,3,0.353,30,27,0.141,2560,162,136,3.93,1.28,0,1279,23.3,0,0
mooreea01,949,0,0.351,55,43,0.141,2776,163,154,2.78,1.29,6,1403,26.9,0,0
raffeke01,688,4,0.348,38,31,0.141,2151,119,154,3.6,1.26,16,806,31,1,0
schmijo01,587,2,0.347,32,32,0.141,1812,93,114,3.55,1.39,20,746,22.7,2,0
violafr01,185,0,0.311,8,6,0.141,2836,176,150,3.73,1.3,0,1844,46.9,3,0
gagneer01,86,1,0.37,5,3,0.14,643,33,26,3.47,1.16,187,718,11.7,3,0
mastewa02,486,0,0.363,37,26,0.14,1649,78,100,4.15,1.52,20,815,9.4,2,0
moffira01,86,0,0.345,6,4,0.14,781,43,52,3.65,1.35,96,455,5.6,0,0
niggejo01,420,0,0.336,16,17,0.14,1250,64,69,3.22,1.3,0,620,17.7,0,0
zahnge01,43,0,0.28,3,1,0.14,1849,111,109,3.74,1.35,1,705,20.3,0,0
russeje01,79,1,0.403,3,10,0.139,1099,56,73,3.75,1.35,186,693,14.8,2,0
kendrky01,374,1,0.36,23,9,0.139,1289,81,83,4.69,1.39,0,705,4.6,0,0
sorrevi01,553,0,0.351,35,28,0.139,1671,92,101,4.43,1.51,10,619,17,0,0
liebejo01,612,0,0.346,36,25,0.139,2198,131,124,4.27,1.28,2,1553,24.2,1,0
elartsc01,166,0,0.345,13,3,0.139,1065,56,61,5.29,1.43,3,698,2.5,0,0
wilsocj01,29,0,0.426,3,0,0.138,1430,94,70,3.74,1.32,52,1259,17.5,2,0
mcgrabo01,174,1,0.389,12,15,0.138,591,26,38,4.83,1.59,6,164,-2.9,0,0
nolanga01,529,1,0.371,36,32,0.138,1674,110,70,3.08,1.15,0,1039,25.8,1,0
vogelry01,311,1,0.369,24,12,0.138,1190,61,75,4.48,1.41,0,900,1.3,1,0
ponsosi01,65,0,0.361,4,1,0.138,1760,91,113,5.03,1.48,1,1031,11.1,0,0
rogerst01,881,0,0.347,47,39,0.138,2837,158,152,3.18,1.23,2,1621,44.7,5,0
pettian01,196,1,0.347,6,13,0.138,3316,256,153,3.85,1.35,0,2448,60.2,3,0
galehde01,665,0,0.338,33,26,0.138,2004,109,118,3.97,1.44,13,851,22.6,0,0
abernte02,181,0,0.33,12,9,0.138,1147,63,69,3.46,1.4,148,765,15.9,0,0
rawlesh01,289,0,0.328,16,13,0.138,1871,111,118,4.02,1.43,40,991,20.8,1,0
ohkato01,240,0,0.318,8,15,0.138,1070,51,68,4.26,1.39,0,590,11.3,0,0
frymawo01,609,2,0.316,22,25,0.138,2411,141,155,3.77,1.35,58,1587,17,2,0
gardnro01,87,0,0.309,2,2,0.138,331,14,18,4.35,1.44,2,193,-1.5,0,0
priddbo01,95,1,0.393,6,6,0.137,536,24,38,4,1.34,18,294,1.2,0,0
kneppbo01,840,6,0.373,47,59,0.137,2708,146,155,3.68,1.33,1,1473,21.8,2,0
anderbr02,255,1,0.354,15,10,0.137,1547,82,83,4.74,1.34,1,723,10,0,0
garlajo01,175,1,0.353,12,7,0.137,2151,136,125,4.37,1.39,1,1156,22.5,1,0
mcmahdo02,168,0,0.346,8,9,0.137,1310,90,68,2.96,1.25,153,1003,22.5,1,0
worthal01,255,1,0.341,22,15,0.137,1246,75,82,3.39,1.33,110,834,16.2,0,0
brownma01,313,0,0.332,24,18,0.137,1075,76,57,3.47,1.41,48,435,10.5,1,0
robinje01,161,2,0.326,3,10,0.137,901,46,57,3.8,1.36,39,629,2.9,0,0
alvarwi01,95,0,0.309,6,1,0.137,1747,102,92,3.96,1.39,4,1330,24.8,1,0
rogerke01,66,0,0.368,5,4,0.136,3302,219,156,4.27,1.4,28,1968,50.4,4,0
lonboji01,770,3,0.366,41,43,0.136,2464,157,137,3.86,1.31,4,1475,14.2,1,0
penaor01,264,2,0.36,12,22,0.136,1202,56,77,3.71,1.27,40,818,12.8,0,0
fischbi01,199,1,0.357,8,12,0.136,831,45,58,4.34,1.38,13,313,3.7,0,0
jacksgr01,236,2,0.342,20,17,0.136,1358,86,75,3.47,1.31,79,889,14,1,0
camniho01,677,1,0.335,42,32,0.136,2085,133,106,2.75,1.2,15,915,15.9,0,0
roberna01,44,0,0.333,2,2,0.136,1152,57,77,5.02,1.47,1,775,4.2,0,0
nolesdi01,177,0,0.322,9,11,0.136,860,36,53,4.56,1.45,11,455,0.4,0,0
forscke01,383,0,0.321,16,17,0.136,2127,114,113,3.37,1.25,51,1047,26,2,0
dierkla01,789,4,0.318,38,46,0.136,2333,139,123,3.31,1.22,1,1493,31.9,2,0
barrere01,398,0,0.312,17,29,0.136,1263,69,69,3.53,1.27,7,333,10,1,0
welleto01,140,0,0.283,7,6,0.136,614,32,34,4.84,1.51,3,459,-1.1,0,0
sambijo01,52,0,0.428,4,4,0.135,629,37,38,3.03,1.2,84,489,8.7,1,0
cardwdo01,698,15,0.387,44,53,0.135,2122,102,138,3.92,1.26,7,1211,16.7,0,0
zuberbi01,229,0,0.369,10,11,0.135,786,43,42,4.28,1.57,6,383,1.1,0,0
owchibo01,163,0,0.352,9,5,0.135,890,37,60,4.29,1.46,7,490,2,0,0
farretu01,436,4,0.337,19,18,0.135,1705,106,111,3.45,1.23,83,1177,27.2,4,0
buzhajo01,445,0,0.327,22,18,0.135,1490,71,96,3.67,1.26,7,678,11.2,0,0
maglisa01,563,2,0.326,29,29,0.135,1723,119,62,3.15,1.25,14,862,30.5,2,0
mcwilla01,446,0,0.318,26,15,0.135,1558,78,90,3.99,1.34,3,940,10.8,0,0
shellji01,104,0,0.313,8,7,0.135,454,16,30,3.81,1.42,2,222,0.6,0,0
faberre01,1269,3,0.401,98,70,0.134,4086,254,213,3.15,1.3,28,1471,64,0,1
hendrma01,97,1,0.4,8,3,0.134,1169,58,74,5.03,1.46,1,666,4.2,0,0
burbada01,194,3,0.37,10,12,0.134,1777,115,87,4.49,1.43,3,1398,16.4,0,0
nolasri01,382,1,0.362,19,26,0.134,1887,114,118,4.56,1.33,0,1513,13.5,0,0
nomohi01,485,4,0.348,22,26,0.134,1976,123,109,4.24,1.35,0,1918,20.9,1,0
myersbr01,471,0,0.334,22,12,0.134,1710,97,96,4.25,1.33,40,1379,14.6,0,0
ashbyan01,521,1,0.325,26,26,0.134,1810,98,110,4.12,1.32,1,1173,20.9,2,0
rodriwa01,447,0,0.31,24,21,0.134,1557,97,98,4.1,1.34,0,1281,13.2,0,0
nottedo01,238,0,0.31,14,7,0.134,928,36,51,3.66,1.28,21,525,9.3,0,0
horlejo01,618,0,0.303,29,26,0.134,2002,116,117,3.11,1.19,4,1065,23.2,1,0
birddo01,82,0,0.301,1,3,0.134,1213,73,60,3.99,1.29,60,680,8.9,0,0
krausle02,354,6,0.411,23,24,0.133,1283,68,91,4.01,1.32,21,721,2.6,0,0
mcnalda01,731,9,0.397,49,43,0.133,2730,184,119,3.24,1.21,2,1512,25.6,3,0
eckerde01,181,3,0.372,9,12,0.133,3285,197,171,3.5,1.16,390,2401,62.1,6,1
millest01,369,0,0.36,28,20,0.133,1694,105,103,3.24,1.25,154,1164,27,2,0
shawbo01,519,0,0.332,21,18,0.133,1778,108,98,3.52,1.32,32,880,18.4,1,0
nunezvl01,60,1,0.331,3,5,0.133,442,21,34,4.83,1.42,21,327,-0.6,0,0
jonesbo03,442,1,0.322,29,17,0.133,1518,89,83,4.36,1.35,0,887,7.5,1,0
mcmicgr01,15,0,0.321,0,0,0.133,523,31,29,3.25,1.29,53,459,6.6,0,0
ellisdo01,489,0,0.319,42,23,0.133,2127,138,119,3.46,1.29,1,1136,14.3,1,0
mclaide01,616,1,0.319,32,31,0.133,1886,131,91,3.39,1.16,2,1282,19.3,3,0
saundjo01,128,0,0.311,3,6,0.133,1387,89,86,4.37,1.42,0,792,8.5,1,0
mikkepe01,83,0,0.305,4,2,0.133,653,45,40,3.38,1.26,49,436,1.8,0,0
